#TYPE VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","PowerState","Notes","Guest","NumCpu","CoresPerSocket","MemoryMB","MemoryGB","VMHostId","VMHost","VApp","FolderId","Folder","ResourcePoolId","ResourcePool","HARestartPriority","HAIsolationResponse","DrsAutomationLevel","VMSwapfilePolicy","VMResourceConfiguration","Version","HardwareVersion","PersistentId","GuestId","UsedSpaceGB","ProvisionedSpaceGB","DatastoreIdList","CreateDate","SEVEnabled","BootDelayMillisecond","MigrationEncryption","MemoryHotAddEnabled","MemoryHotAddIncrement","MemoryHotAddLimit","CpuHotAddEnabled","CpuHotRemoveEnabled","ExtensionData","CustomFields","Id","Uid"
"VM-ECWWKS-00","PoweredOn","","VM-ECWWKS-00:Microsoft Windows 10 (64-bit)","2","1","8192","8","HostSystem-host-279","10.1.10.15",,"Folder-group-v2691","ECW Workstations","ResourcePool-resgroup-2692","ECW Workstations","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v11","vmx-11","50241848-ce0c-f7ca-a3ef-2e0eb1738d76","windows9_64Guest","76.514946798793971538543701172","83.17998637445271015167236328","System.String[]","2/24/2020 8:41:58 PM",,"0","Opportunistic","False","0","8192","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-2693","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-2693/"
"VM-ECWWKS-01","PoweredOn","","VM-ECWWKS-01:Microsoft Windows 10 (64-bit)","2","1","8192","8","HostSystem-host-275","10.1.10.16",,"Folder-group-v2691","ECW Workstations","ResourcePool-resgroup-2692","ECW Workstations","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v11","vmx-11","5024f5b5-1402-3d32-a867-ce9453952715","windows9_64Guest","74.466633118689060211181640625","83.17268831934779882431030273","System.String[]","2/24/2020 8:41:58 PM",,"0","Opportunistic","False","0","8192","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-2720","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-2720/"
"HT-EZCAP-TEST00","PoweredOn","","HT-EZCAP-TEST00:Microsoft Windows Server 2016 or later (64-bit)","2","2","32768","32","HostSystem-host-9","10.1.10.24",,"Folder-group-v162","EZCap Test","ResourcePool-resgroup-208","EZ-CAP TEST","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/327680","v11","vmx-11","50012b85-7178-7fce-1908-07011c670526","windows9Server64Guest","1180.1966712409630417823791504","1475.3324174601584672927856445","System.String[]","1/1/1970 12:00:00 AM",,"0","Opportunistic","False","0","32768","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-167","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-167/"
"HT-GFI00","PoweredOn","","HT-GFI00:Microsoft Windows Server 2012 (64-bit)","4","2","16384","16","HostSystem-host-279","10.1.10.15",,"Folder-group-v180","IT Systems","ResourcePool-resgroup-236","Security_&_Monitoring","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/163840","v8","vmx-08","501b5e05-ab77-93bc-7ab6-48840a573141","windows7Server64Guest","1316.0969005106016993522644043","1316.1896750209853053092956543","System.String[]",,,"0","Opportunistic","False","0","16384","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-261","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-261/"
"HT-SQLIT01","PoweredOn","","HT-SQLIT01:Microsoft Windows Server 2016 or later (64-bit)","2","1","32768","32","HostSystem-host-279","10.1.10.15",,"Folder-group-v180","IT Systems","ResourcePool-resgroup-214","IT Systems","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/327680","v11","vmx-11","5024d98b-63e0-e71d-044c-ec51bbdbcfec","windows9Server64Guest","1177.1821064818650484085083008","1177.1821092227473855018615723","System.String[]","4/23/2020 4:51:22 AM",,"0","Opportunistic","False","0","32768","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-2513","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-2513/"
"HT-VEEAM04","PoweredOn","Veeam Backup and Rep 10.0","HT-VEEAM04:Microsoft Windows Server 2016 or later (64-bit)","4","1","12288","12","HostSystem-host-275","10.1.10.16",,"Folder-group-v148","Veeam","ResourcePool-resgroup-59","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/122880","v11","vmx-11","502406e7-8c2c-b4e7-2674-0c1403ab2d93","windows9Server64Guest","372.17811050731688737869262695","372.17811190243810415267944336","System.String[]","2/22/2020 9:34:10 PM",,"0","Opportunistic","False","0","12288","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-92","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-92/"
"HT-SQLDW-PROD01","PoweredOn","","HT-SQLDW-PROD01:Microsoft Windows Server 2012 (64-bit)","12","6","65536","64","HostSystem-host-279","10.1.10.15",,"Folder-group-v194","BI Systems","ResourcePool-resgroup-212","BI","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/12000 MemShares:Normal/655360","v11","vmx-11","5001302f-792c-41da-43e8-0e8562aeccc1","windows8Server64Guest","4671.6422328576445579528808594","7160.2311047622933983802795410","System.String[]",,,"0","Opportunistic","False","256","65536","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-12298","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-12298/"
"HTMG-Stats","PoweredOn","","HTMG-Stats:Microsoft Windows Server 2008 R2 (64-bit)","4","4","16384","16","HostSystem-host-279","10.1.10.15",,"Folder-group-v194","BI Systems","ResourcePool-resgroup-212","BI","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/163840","v8","vmx-08","501b8d18-680d-2294-2443-8838d4d2d3ae","windows7Server64Guest","286.48589916713535785675048828","286.48590080719441175460815430","System.String[]",,,"0","Opportunistic","False","0","16384","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-256","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-256/"
"HT-DC02","PoweredOn","","HT-DC02:Microsoft Windows Server 2012 (64-bit)","2","2","8192","8","HostSystem-host-279","10.1.10.15",,"Folder-group-v129","Domain Controllers","ResourcePool-resgroup-203","Domain Controllers","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v8","vmx-08","501bd4e0-af44-e1cd-d35f-26b288a1ee87","windows7Server64Guest","88.24609324056655168533325195","108.20410161651670932769775390","System.String[]",,,"0","Opportunistic","False","0","8192","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-173","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-173/"
"HT-DC00","PoweredOn","","HT-DC00:Microsoft Windows Server 2012 (64-bit)","2","2","8192","8","HostSystem-host-9","10.1.10.24",,"Folder-group-v129","Domain Controllers","ResourcePool-resgroup-203","Domain Controllers","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v8","vmx-08","501bd323-c92b-f575-7384-8eab51b50f4a","windows7Server64Guest","40.040114854462444782257080078","100.02877042163163423538208008","System.String[]","1/1/1970 12:00:00 AM",,"0","Opportunistic","False","0","8192","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-204","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-204/"
"HT-FILE00","PoweredOn","","HT-FILE00:Microsoft Windows Server 2016 or later (64-bit)","2","1","16384","16","HostSystem-host-9","10.1.10.24",,"Folder-group-v176","FileServers","ResourcePool-resgroup-289","FileServers","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/163840","v11","vmx-11","5001ecd5-c34c-d252-9b8b-0581fb62b52a","windows9Server64Guest","4036.8882212443277239799499512","4191.1489657154306769371032715","System.String[]","1/1/1970 12:00:00 AM",,"0","Opportunistic","False","0","16384","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-177","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-177/"
"HT-BKUP-PROX03","PoweredOn","","HT-BKUP-PROX03:Microsoft Windows 10 (64-bit)","4","4","8192","8","HostSystem-host-9","10.1.10.24",,"Folder-group-v146","VMware","ResourcePool-resgroup-6829","Veeam_Proxo","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/81920","v11","vmx-11","5001aae2-216f-75d9-efa9-5a99f0874a47","windows7_64Guest","63.094293069094419479370117188","63.094293564558029174804687500","System.String[]","1/1/1970 12:00:00 AM",,"0","Opportunistic","False","0","8192","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-312","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-312/"
"HT-BKUP-PROX04","PoweredOn","","HT-BKUP-PROX04:Microsoft Windows 10 (64-bit)","4","4","8192","8","HostSystem-host-279","10.1.10.15",,"Folder-group-v146","VMware","ResourcePool-resgroup-6829","Veeam_Proxo","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/81920","v11","vmx-11","50018198-3785-acb2-79cb-b6d8f3b30c3a","windows7_64Guest","63.206536363810300827026367188","63.206536879763007164001464844","System.String[]",,,"0","Opportunistic","False","0","8192","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-313","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-313/"
"v10xECW-APP03","PoweredOn","Veeam Backup: Job name: [NAS_101_Local_v10eCW_APP_Servers] Time [8/26/2014 1:56:25 AM], Backup host [HTMG-VEEAM], Backup file [[This server] HTMG-VEEAM:\\10.98.31.101\bk_offsite_1\NAS_101_Local_v10eCW_APP_Servers\NAS_101_Local_v10eCW_APP_Servers2014-08-26T010156.vbk]","v10xECW-APP03:Microsoft Windows Server 2012 (64-bit)","4","2","10240","10","HostSystem-host-9","10.1.10.24",,"Folder-group-v103","v10_AppServers","ResourcePool-resgroup-205","eCW_v10_PROD","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/102400","v8","vmx-08","501bf883-fa76-e2a3-0041-7dfe2275c2ed","windows7Server64Guest","280.1101969899609684944152832","280.11019810289144515991210937","System.String[]","1/1/1970 12:00:00 AM",,"0","Opportunistic","False","0","10240","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-153","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-153/"
"v10xECW-APP02","PoweredOn","Veeam Backup: Job name: [NAS_101_Local_v10eCW_APP_Servers] Time [8/26/2014 1:34:33 AM], Backup host [HTMG-VEEAM], Backup file [[This server] HTMG-VEEAM:\\10.98.31.101\bk_offsite_1\NAS_101_Local_v10eCW_APP_Servers\NAS_101_Local_v10eCW_APP_Servers2014-08-26T010156.vbk]","v10xECW-APP02:Microsoft Windows Server 2012 (64-bit)","4","2","10240","10","HostSystem-host-279","10.1.10.15",,"Folder-group-v103","v10_AppServers","ResourcePool-resgroup-205","eCW_v10_PROD","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/102400","v8","vmx-08","501bd4e8-4402-4e12-22ab-4e4acdf57c12","windows7Server64Guest","270.19966638740152120590209961","270.19966749101877212524414063","System.String[]",,,"0","Opportunistic","False","0","10240","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-152","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-152/"
"v10xECW-APP00","PoweredOn","Veeam Backup: Job name: [NAS_101_Local_v10eCW_APP_Servers] Time [8/26/2014 1:02:21 AM], Backup host [HTMG-VEEAM], Backup file [[This server] HTMG-VEEAM:\\10.98.31.101\bk_offsite_1\NAS_101_Local_v10eCW_APP_Servers\NAS_101_Local_v10eCW_APP_Servers2014-08-26T010156.vbk]","v10xECW-APP00:Microsoft Windows Server 2012 (64-bit)","4","2","10240","10","HostSystem-host-272","10.1.10.25",,"Folder-group-v103","v10_AppServers","ResourcePool-resgroup-205","eCW_v10_PROD","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/102400","v8","vmx-08","501ba5e5-787b-4277-27ad-709b3a74b576","windows7Server64Guest","290.24943460337817668914794922","290.24943570792675018310546875","System.String[]",,,"0","Opportunistic","False","0","10240","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-150","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-150/"
"v10xECW-APP01","PoweredOn","Veeam Backup: Job name: [NAS_101_Local_v10eCW_APP_Servers] Time [8/26/2014 1:17:03 AM], Backup host [HTMG-VEEAM], Backup file [[This server] HTMG-VEEAM:\\10.98.31.101\bk_offsite_1\NAS_101_Local_v10eCW_APP_Servers\NAS_101_Local_v10eCW_APP_Servers2014-08-26T010156.vbk]","v10xECW-APP01:Microsoft Windows Server 2012 (64-bit)","2","2","10240","10","HostSystem-host-272","10.1.10.25",,"Folder-group-v103","v10_AppServers","ResourcePool-resgroup-205","eCW_v10_PROD","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/102400","v8","vmx-08","501b5ce7-3996-88b5-36c8-ec1fe3982ab5","windows7Server64Guest","200.20650834031403064727783203","200.20650944393128156661987305","System.String[]",,,"0","Opportunistic","False","0","10240","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-151","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-151/"
"v10xECW-MSSQL","PoweredOn","Veeam Backup: Job name: [NAS_101_Local_v10eCW_MSSQL_DB] Time [8/19/2014 8:02:02 PM], Backup host [HTMG-VEEAM], Backup file [[This server] HTMG-VEEAM:\\10.98.31.101\bk_offsite_1\NAS_101_Local_v10eCW_MSSQL_DB\NAS_101_Local_v10eCW_MSSQL_DB2014-08-19T200122.vbk]
Last Tintri snapshot taken at 2016-02-05 12:29:12","v10xECW-MSSQL:Microsoft Windows Server 2012 (64-bit)","12","6","229376","224","HostSystem-host-275","10.1.10.16",,"Folder-group-v104","v10_DatabaseServer","ResourcePool-resgroup-205","eCW_v10_PROD","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/12000 MemShares:Normal/2293760","v8","vmx-08","501bbe92-0cdf-fed0-6a13-fe6669e11cca","windows7Server64Guest","4447.9636637503281235694885254","5184.5652292696759104728698731","System.String[]",,,"0","Opportunistic","False","0","229376","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-145","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-145/"
