#TYPE VMware.VimAutomation.ViCore.Impl.V1.VirtualDevice.NetworkAdapterImpl
"MacAddress","WakeOnLanEnabled","NetworkName","Type","ParentId","Parent","Uid","ConnectionState","ExtensionData","Id","Name"
"00:50:56:A4:7E:5C","True","Server Network-00","Vmxnet3","VirtualMachine-vm-2693","VM-ECWWKS-00","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-2693/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-2693/4000","Network adapter 1"
"00:50:56:A4:8A:36","True","Server Network-00","Vmxnet3","VirtualMachine-vm-2720","VM-ECWWKS-01","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-2720/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-2720/4000","Network adapter 1"
"00:50:56:81:57:83","True","Server Network-00","Vmxnet3","VirtualMachine-vm-167","HT-EZCAP-TEST00","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-167/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-167/4000","Network adapter 1"
"00:50:56:9b:0a:c0","True","Server Network-00","Vmxnet3","VirtualMachine-vm-261","HT-GFI00","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-261/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-261/4000","Network adapter 1"
"00:50:56:A4:FF:27","True","Server Network-00","Vmxnet3","VirtualMachine-vm-2513","HT-SQLIT01","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-2513/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-2513/4000","Network adapter 1"
"00:50:56:a4:c7:42","True","Server Network-00","Vmxnet3","VirtualMachine-vm-92","HT-VEEAM04","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-92/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-92/4000","Network adapter 1"
"00:50:56:81:22:20","True","Server Network-00","Vmxnet3","VirtualMachine-vm-12298","HT-SQLDW-PROD01","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-12298/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-12298/4000","Network adapter 1"
"00:50:56:9b:29:03","True","Server Network-00","e1000","VirtualMachine-vm-256","HTMG-Stats","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-256/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualE1000","VirtualMachine-vm-256/4000","Network adapter 1"
"00:50:56:9b:19:52","True","Server Network-00","Vmxnet3","VirtualMachine-vm-173","HT-DC02","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-173/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-173/4000","Network adapter 1"
"00:50:56:9b:19:51","True","Server Network-00","Vmxnet3","VirtualMachine-vm-204","HT-DC00","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-204/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-204/4000","Network adapter 1"
"00:50:56:81:4E:71","True","Server Network-00","e1000e","VirtualMachine-vm-177","HT-FILE00","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-177/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualE1000e","VirtualMachine-vm-177/4000","Network adapter 1"
"00:50:56:81:5c:8f","True","Server Network-00","Vmxnet3","VirtualMachine-vm-312","HT-BKUP-PROX03","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-312/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-312/4000","Network adapter 1"
"00:50:56:81:4a:6b","True","Server Network-00","Vmxnet3","VirtualMachine-vm-313","HT-BKUP-PROX04","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-313/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-313/4000","Network adapter 1"
"00:50:56:9b:1a:0f","True","Server Network-00","Vmxnet3","VirtualMachine-vm-153","v10xECW-APP03","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-153/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-153/4000","Network adapter 1"
"00:50:56:9b:1a:0e","True","Server Network-00","Vmxnet3","VirtualMachine-vm-152","v10xECW-APP02","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-152/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-152/4000","Network adapter 1"
"00:50:56:9b:1a:0b","True","Server Network-00","Vmxnet3","VirtualMachine-vm-150","v10xECW-APP00","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-150/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-150/4000","Network adapter 1"
"00:50:56:9b:1a:0d","True","Server Network-00","Vmxnet3","VirtualMachine-vm-151","v10xECW-APP01","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-151/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-151/4000","Network adapter 1"
"00:50:56:9b:1a:0c","True","Server Network-00","Vmxnet3","VirtualMachine-vm-145","v10xECW-MSSQL","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-145/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-145/4000","Network adapter 1"
"00:50:56:9b:18:bf","True","Server Network-00","Vmxnet3","VirtualMachine-vm-142","v10xECW-EBO00","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-142/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-142/4000","Network adapter 1"
"00:50:56:9b:21:03","True","Server Network-00","e1000","VirtualMachine-vm-155","v10xECW-APPPP","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-155/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualE1000","VirtualMachine-vm-155/4000","Network adapter 1"
"00:50:56:9b:3b:23","True","Server Network-00","e1000","VirtualMachine-vm-128","v10xECW-FTP","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-128/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualE1000","VirtualMachine-vm-128/4000","Network adapter 1"
"00:50:56:9b:21:0b","True","Server Network-00","e1000","VirtualMachine-vm-125","v10xECW-LabInt","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-125/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualE1000","VirtualMachine-vm-125/4000","Network adapter 1"
"00:50:56:81:37:5f","True","Server Network-00","Vmxnet3","VirtualMachine-vm-295","HT-LABDAQ00","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-295/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-295/4000","Network adapter 1"
"00:50:56:81:3f:8f","True","Server Network-00","Vmxnet3","VirtualMachine-vm-251","ht-cuc-cucm-sub","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-251/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-251/4000","Network adapter 1"
"00:50:56:9b:2a:a2","False","Server Network-00","Vmxnet3","VirtualMachine-vm-266","HTMG-CUCM-PUB","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-266/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-266/4000","Network adapter 1"
"00:50:56:81:57:65","True","Server Network-00","Vmxnet3","VirtualMachine-vm-250","ht-cuc-uccx-pub","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-250/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-250/4000","Network adapter 1"
"00:50:56:81:25:cc","True","Server Network-00","Vmxnet3","VirtualMachine-vm-249","ht-cuc-uccx","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-249/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-249/4000","Network adapter 1"
"00:50:56:a4:11:ec","True","Server Network-00","Vmxnet3","VirtualMachine-vm-4383","New Unity Server","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-4383/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-4383/4000","Network adapter 1"
"00:50:56:81:72:b4","True","Server Network-00","Vmxnet3","VirtualMachine-vm-253","ht-cuc-unity-sec","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-253/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-253/4000","Network adapter 1"
"00:50:56:a4:a6:06","True","Mgmt VMs","e1000","VirtualMachine-vm-4143","HT_FMC_DC00","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-4143/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualE1000","VirtualMachine-vm-4143/4000","Network adapter 1"
"00:50:56:a4:7b:f6","True","Server Network-00","Vmxnet3","VirtualMachine-vm-4526","DT-FPSA-01","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-4526/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-4526/4000","Network adapter 1"
"00:50:56:a4:ea:e5","True","Server Network-00","Vmxnet3","VirtualMachine-vm-4525","DT-FPSA-00","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-4525/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-4525/4000","Network adapter 1"
"00:0c:29:47:2b:69","True","Mgmt VMs","Vmxnet3","VirtualMachine-vm-33","ht-vcenter67dc","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-33/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-33/4000","Network adapter 1"
"00:50:56:a4:8d:02","True","VLAN0250-IT","Vmxnet3","VirtualMachine-vm-38","HT-SRM82-DC","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-38/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-38/4000","Network adapter 1"
